meter_number,poc_number,total_blank_periods,avg_monthly_units_over_blank_periods,std_monthly_units_over_blank_periods,last_blank_period_start,last_blank_period_end,last_blank_period_length,months_since_last_blank_period,total_units_before_last_blank_period,monthly_units_over_last_blank_period,longest_blank_period_start,longest_blank_period_end,longest_blank_period_length,months_since_longest_blank_period,total_units_before_longest_blank_period,monthly_units_over_longest_blank_period
7067265582,400196,23,2.596640449677604,2.079332350589554,2022-01-31,2022-03-31,2,0,6.65,3.32,2011-04-30,2012-04-30,12,119,71.9,5.99
7067398797,498044,22,2.826515151515151,4.206504730503726,2021-01-31,2021-05-31,4,0,4.8,1.2,2015-09-30,2017-12-31,27,41,1.8,0.07
7067403829,498011,18,1.6000513538748828,1.4707818970196622,2020-11-30,2021-02-28,3,13,4.0,1.33,2016-05-31,2017-03-31,10,60,1.1,0.11
7067417795,498125,4,52.949999999999996,40.602155115215254,2011-05-31,2011-07-31,2,128,219.4,109.7,2010-08-31,2010-10-31,2,137,34.0,17.0
7067439666,498041,12,3.383502913105333,3.320369399563272,2021-12-31,2022-02-28,2,1,5.6,2.8,2020-03-31,2020-06-30,3,21,4.8,1.6
7067440854,400177,5,6.1375,1.4126106151378022,2021-06-30,2021-08-31,2,7,11.3,5.65,2012-06-30,2012-08-31,2,115,17.0,8.5
7067449731,497987,25,6.990622222222222,5.344519750728396,2021-11-30,2022-02-28,3,0,8.0,2.67,2019-04-30,2020-01-31,9,25,4.2,0.47
7068810303,498168,22,8.335984848484848,9.773051417281142,2021-11-30,2022-01-31,2,1,4.8,2.4,2020-04-30,2020-12-31,8,14,3.8,0.48
7072226645,498072,21,1.9996392496392497,1.3622514134853254,2021-03-31,2021-07-31,4,7,4.8,1.2,2013-08-31,2014-07-31,11,91,17.7,1.61
7073857422,498212,4,49.40159423204153,65.2391675911189,2021-12-31,2022-02-28,2,1,9.31,4.65,2017-03-31,2017-05-31,2,58,283.3,141.65
7073899630,498071,2,21.18,0.0,2011-03-31,2011-08-31,5,127,105.9,21.18,2011-03-31,2011-08-31,5,127,105.9,21.18
7074273850,498156,26,1.8264991104923234,0.8355748130921764,2021-03-31,2021-12-31,9,0,4.8,0.53,2019-10-31,2021-03-31,17,9,4.8,0.28
7074389516,497982,6,8.092382615689969,5.4986077932163235,2021-12-31,2022-02-28,2,1,3.72,1.86,2011-04-30,2011-06-30,2,129,33.0,16.5
7074449476,498085,11,1.6305188792688796,1.619186941266032,2021-11-30,2022-01-31,2,0,5.4,2.7,2018-11-30,2021-02-28,27,11,2.2,0.08
